paper_id,year,design,sport,bt_classification,comparator,arm_structure,outcome_domain,outcome_metric,timepoint,lower_is_better,ig_n,ig_mean,ig_sd,cg_n,cg_mean,cg_sd,reported_effect,n_allocated_ig,n_allocated_cg,dropout_n_ig,dropout_n_cg,adherence_n_ig,adherence_total_ig,adherence_rate_ig,adherence_n_cg,adherence_total_cg,adherence_rate_cg,any_ae_n_ig,any_ae_total_ig,any_ae_n_cg,any_ae_total_cg,ae_type,ae_n_ig,ae_n_cg,serious_ae_n_ig,serious_ae_n_cg,overall_ae_n,overall_ae_total,notes,source_quote,row_id,year_num,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,n_allocated_ig_num,n_allocated_cg_num,dropout_n_ig_num,dropout_n_cg_num,any_ae_n_ig_num,any_ae_total_ig_num,any_ae_n_cg_num,any_ae_total_cg_num,overall_ae_n_num,overall_ae_total_num,outcome_lower,lower_by_metric,lower_is_better_flag,direction_standardization_note,direction_multiplier,complete_for_smd
Jones2026,2026,RCT,endurance,box breathing,spontaneous breathing,parallel,Physiological,Heart Rate Recovery 1 min (bpm),Post-exercise,FALSE,21,129.5,12.6,20,132.6,13.5,p > 0.05,25,25,,,,,,,,,,,,,0,62,"15 participants dropped due to data errors, 5 outliers removed.","HRR1 (bpm) 130.2 ± 13.4, 129.5 ± 12.6, 129.3 ± 14.4, 132.6 ± 13.5",,,,,,11,2026,21,129.5,12.6,20,132.6,13.5,25,25,,,,,,,,,heart rate recovery 1 min (bpm),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE
Kacoglu2017,2017,Crossover,running,hyperventilation,normal ventilation,crossover,Performance,10-m sprint time (s),Post-exercise,TRUE,14,1.94,0.11,14,1.92,0.11,p < 0.05,14,14,0,0,14,14,100,14,14,100,0,14,0,14,None,0,0,0,0,0,14,Small decrement in sprint performance with hyperventilation.,Ten meter sprint time significantly decreased after HP protocol (1.94 ± 0.11s) but this performance enhancement is approximately 1% (≤0.02s) compared to NV,12,2017,14,1.94,0.11,14,1.92,0.11,14,14,0,0,0,14,0,14,0,14,10-m sprint time (s),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE
Kasap2025,2025,Crossover,non-sport exercise/performance,box breathing,6 bpm breathing,crossover,Physiological,Final Heart Rate (bpm),Post-exercise,TRUE,40,164.65,9.40,40,154.77,12.18,p < 0.001,40,40,0,0,40,40,100,40,40,100,0,40,0,40,None,0,0,0,0,0,40,Both are active interventions compared to each other.,Box breathing resulted in a significantly higher final heart rate compared to 6 bpm (p < 0.001).,13,2025,40,164.65,9.4,40,154.77,12.18,40,40,0,0,0,40,0,40,0,40,final heart rate (bpm),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE
Laborde2019,2019,Crossover,non-sport exercise/performance,slow-paced breathing,watching TV documentary,crossover,Performance,Number of Burpees,Post-intervention,FALSE,60,64.27,11.54,60,63.00,11.64,p > 0.05,60,60,,,,,,,,,,,,,,,,,,Crossover arm structure comparing SPB to active control.,Number of Burpees 64.27 11.54 63.00 11.64,,,14,2019,60,64.27,11.54,60,63,11.64,60,60,,,,,,,,,number of burpees,TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE
Lapointe2020,2020,RCT,team sports,hypoventilation (VHL),normal breathing (CTL),parallel,Performance,RSASdec (%),Post-training (4 weeks),TRUE,7,5.49,2.70,6,6.46,2.50,ES -0.44,9,8,2,2,,,,,,,,,,,,,,4,17,"4 total dropouts, 1 due to unrelated injury.","VHL did not clearly modify RSAbest, but likely lowered RSASdec (VHL: -24.5% vs. CTL: -5.9%, group difference: -19.8%, ES -0.44).",,,15,2020,7,5.49,2.7,6,6.46,2.5,9,8,2,2,,,,,,,rsasdec (%),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE
Li2024,2024,Crossover,non-sport exercise/performance,regulated breathing (Rhythm+Stand),free breathing (Free+Stand),crossover,Physiological,Average Heart Rate (bpm),During exercise,TRUE,22,94.9,3.80,22,84.4,4.82,p < 0.001,30,30,8,8,22,30,73.3,22,30,73.3,0,22,0,22,None,0,0,0,0,0,22,"8 dropouts: 3 musculoskeletal, 1 illness, 4 personal.",Average HR in test (bpm) FS 84.4 (4.82) RS 94.9 (3.80),16,2024,22,94.9,3.8,22,84.4,4.82,30,30,8,8,0,22,0,22,0,22,average heart rate (bpm),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE
Lim2018,2018,Crossover,cycling,breath holding (CONT-BH),free-breathing (CONT),crossover,Physiological,VO2p (L/min),Post-exercise,FALSE,10,2.15,0.42,10,2.11,0.38,p > 0.05,10,10,0,0,10,10,100,10,10,100,0,10,0,10,None,0,0,0,0,0,10,,Table 4: VO2p 2.15 ± 0.42 (CONT-BH) vs 2.11 ± 0.38 (CONT),17,2018,10,2.15,0.42,10,2.11,0.38,10,10,0,0,0,10,0,10,0,10,vo2p (l/min),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Malakhov2014,2014,Crossover,mixed/various sports,hyperventilation,quiet breath,crossover,Performance,"Mean velocity of CP displacement (V, mm/s)",Post-exercise,TRUE,38,37.76,29.00,38,7.06,1.68,p = 0.005,38,38,0,0,38,38,100,38,38,100,0,38,0,38,None,0,0,0,0,0,38,Values taken from Athletes group (n=38).,"V, mm s-1 25.45 ± 11.12 37.76 ± 29.00 0.0006 0.005",18,2014,38,37.76,29,38,7.06,1.68,38,38,0,0,0,38,0,38,0,38,"mean velocity of cp displacement (v, mm/s)",TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE
Merlin2024,2024,RCT,swimming,slow-paced breathing,control,parallel,Physiological,"Heart rate exercise (HRex, bpm)",Post-intervention (Week 6),TRUE,7,154.0,17.78,6,159.3,8.73,p > 0.05,7,6,0,0,7,7,100,6,6,100,0,7,0,6,None,0,0,0,0,0,13,,HRex I 154 (17.78) C 159.3 (8.73),19,2024,7,154,17.78,6,159.3,8.73,7,6,0,0,0,7,0,6,0,13,"heart rate exercise (hrex, bpm)",TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE
Pelka2017,2017,Crossover,running,slow-paced breathing,control,crossover,Performance,Average Maximum Speed (m/s),Post-relaxation,FALSE,27,5.21,0.61,27,5.19,0.64,p = 0.033,27,27,0,0,27,27,100,27,27,100,0,27,0,27,None,0,0,0,0,0,27,Dropouts occurred during habituation (3 out of 30). 27 analysed.,"Participants increased their average maximum speed from pre- to post-relaxation intervention only in the systematic breathing regulation, t(25) = -2.13, P = 0.043",20,2017,27,5.21,0.61,27,5.19,0.64,27,27,0,0,0,27,0,27,0,27,average maximum speed (m/s),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Robertson2020,2020,Crossover,swimming,pre-race apneas (WUAP),control (CON),crossover,Performance,400-m freestyle time (s),Post-exercise,TRUE,10,275.79,12.88,10,278.66,13.31,p = 0.035,10,10,0,0,10,10,100,10,10,100,0,10,0,10,None,0,0,0,0,0,10,,"The time swam in the WUAP time-trial (275.79 ± 12.88 seconds) was significantly faster than the CON (278.66 ± 13.31 seconds, p = 0.035)",21,2020,10,275.79,12.88,10,278.66,13.31,10,10,0,0,0,10,0,10,0,10,400-m freestyle time (s),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE
Sakamoto2014,2014,Crossover,cycling,hyperventilation,control,crossover,Performance,Peak Power Pretest (W),Pre-exercise,FALSE,15,829,107,15,833,119,p > 0.05,15,15,0,0,15,15,100,15,15,100,0,15,0,15,None,0,0,0,0,0,15,Baseline differences not significant.,The pretest baseline values between the control and hyperventilation conditions were not statistically different: peak power (833 ± 119 vs. 829 ± 107 W),22,2014,15,829,107,15,833,119,15,15,0,0,0,15,0,15,0,15,peak power pretest (w),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Sakamoto2015,2015,Crossover,resistance/strength,hyperventilation,control,crossover,Performance,Peak Torque 60/s (Nm),Pre-exercise,FALSE,15,237.1,56.8,15,234.0,58.4,p > 0.05,15,15,0,0,15,15,100,15,15,100,0,15,0,15,None,0,0,0,0,0,15,Baseline differences not significant.,There was no significant differences between control and hyperventilation conditions for pre-test values of peak torque (60°/s: 234.0 ± 58.4 vs. 237.1 ± 56.8 N m),23,2015,15,237.1,56.8,15,234,58.4,15,15,0,0,0,15,0,15,0,15,peak torque 60/s (nm),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Sakamoto2018,2018,Crossover,cycling,hyperventilation short (HVshort),control,crossover,Physiological,VO2 (ml/min) SP1,During exercise,FALSE,15,1767.5,214.6,15,1692.0,218.8,p = 0.008,17,17,2,2,,,,,,,,,,,,,,2,17,2 dropped due to transducer error.,"VO2 (ml/min) CON 1,692.0 HVshort 1,767.5 Condition: 0.008",,,24,2018,15,1767.5,214.6,15,1692,218.8,17,17,2,2,,,,,,,vo2 (ml/min) sp1,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Sikora2024,2024,Observational,mixed/various sports,diaphragmatic breathing,thoracic breathing,observational,Physiological,Vital Capacity (VC) (L),Baseline,FALSE,38,5.495,1.13,22,4.05,0.95,p = 0.001,38,22,,,,,,,,,,,,,,,,,Observational comparison in athletes.,Diaphragmatic versus Thoracic: VC (L) 4.05 ± 0.95 5.495 ± 1.13 9.777 0.000 0.307 0.001,,,,25,2024,38,5.495,1.13,22,4.05,0.95,38,22,,,,,,,,,vital capacity (vc) (l),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Stavrou2015,2015,RCT,swimming,intermittent breath holding,self-selected breathing frequency,parallel,Physiological,FEV1,Post-training (16 weeks),FALSE,14,4.7,0.8,14,3.8,0.8,p < 0.05,14,14,0,0,14,14,100,14,14,100,0,14,0,14,None,0,0,0,0,0,28,,FEV1: IBH After 50m 4.7 ± 0.8; SBF After 50m 3.8 ± 0.8,26,2015,14,4.7,0.8,14,3.8,0.8,14,14,0,0,0,14,0,14,0,28,fev1,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Taylor2021,2021,Crossover,non-sport exercise/performance,fast-paced breathing,slow-paced breathing,crossover,Performance,Reaction Time (RT) (ms),During task,TRUE,47,694.10,266.68,47,783.61,339.63,p < 0.001,47,47,0,0,47,47,100,47,47,100,47,47,47,47,dyspnea / hindrance,47,47,0,0,47,47,Fast breathing caused significant dyspnea.,"fast breathing frequencies decreased reaction time compared to slow (Z = - 5.41, p < 0.001, r = - 0.179)",27,2021,47,694.1,266.68,47,783.61,339.63,47,47,0,0,47,47,47,47,47,47,reaction time (rt) (ms),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE
Tomita2026,2026,Crossover,non-sport exercise/performance,controlled breathing,random thinking,crossover,Performance,Mean Power (%VO2max),During HIIT,FALSE,26,153.3,13.5,26,153.0,14.7,p > 0.05,26,26,0,0,26,26,100,26,26,100,0,26,0,26,None,0,0,0,0,0,26,Data are medians and interquartile ranges (IQR). IQR presented in SD column.,All 26 participants completed the intervention and HIIT protocols without adverse events... Mean power (%VO2 max) 153.0 (14.7) 153.3 (13.5),28,2026,26,153.3,13.5,26,153,14.7,26,26,0,0,0,26,0,26,0,26,mean power (%vo2max),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Trincat2017,2017,RCT,swimming,hypoventilation,normal breathing,parallel,Physiological,Time at SpO2 <= 88% (s),During test,TRUE,8,34,0.7,8,0,0,p < 0.01,8,8,0,0,8,8,100,8,8,100,8,8,0,8,severe hypoxemia,8,0,0,0,8,16,IG experienced hypoxemia inherently linked to protocol.,82.5% < Time at SpO2 <= 85% 34 ± 0.7 0,29,2017,8,34,0.7,8,0,0,8,8,0,0,8,8,0,8,8,16,time at spo2 <= 88% (s),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,FALSE
Woorons2016,2016,RCT,swimming,hypoventilation (VHL),normal breathing (CONT),parallel,Physiological,SpO2 Post 100m (%),Post-exercise,FALSE,8,98.3,1.7,7,98.9,1.0,p > 0.05,8,8,0,1,,,,,,,,,,,,,0,15,One dropout in CONT due to inability to breathe through snorkel.,SpO2 (%) VHL Post 98.3 ± 1.7 CONT Post 98.9 ± 1.0,,,,30,2016,8,98.3,1.7,7,98.9,1,8,8,0,1,,,,,,,spo2 post 100m (%),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Woorons2017,2017,Crossover,cycling,hypoventilation (RSH-VHL),normal breathing (RSN),crossover,Physiological,Tidal Volume (Vt) S1 (L),During exercise,FALSE,9,2.50,0.5,9,2.34,0.7,p = 0.11,9,9,0,0,9,9,100,9,9,100,0,9,0,9,None,0,0,0,0,0,9,,Vt (L) S1 RSH-VHL 2.50 ± 0.5 RSN 2.34 ± 0.7 ANOVA P value T: 0.11,31,2017,9,2.5,0.5,9,2.34,0.7,9,9,0,0,0,9,0,9,0,9,tidal volume (vt) s1 (l),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Woorons2019b,2019,RCT,cycling,hypoventilation (RSH-VHL),normal breathing (RSN),parallel,Performance,RSA mean MPO (W),Post-training (3 weeks),FALSE,9,911,117,9,852,69,p < 0.01,9,9,0,0,9,9,100,9,9,100,0,9,0,9,None,0,0,0,0,0,18,,RSA mean MPO (W) Post RSH-VHL 911 ± 117 Post RSN 852 ± 69,32,2019,9,911,117,9,852,69,9,9,0,0,0,9,0,9,0,18,rsa mean mpo (w),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Woorons2024,\2024,RCT,combat sports,hypoventilation (RSH-VHL),normal breathing (RSN),parallel,Performance,MPOmean(5-8) (W),Post-training 1,FALSE,9,266,67,8,246,64,p = 0.02,10,10,1,2,9,10,90,8,10,80,0,9,0,8,None,0,0,0,0,0,17,Dropouts due to missed sessions.,MPOmean(5-8) (W) Post-1 266 ± 67 * 246 ± 64 0.02,33,,9,266,67,8,246,64,10,10,1,2,0,9,0,8,0,17,mpomean(5-8) (w),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
You2023,2023,Crossover,non-sport exercise/performance,slow-paced breathing (6 cpm),usual breathing,crossover,Physiological,RMSSD (ms),Post-intervention,FALSE,75,97.62,43.81,75,62.84,35.96,p < 0.001,78,78,3,3,75,78,96.1,75,78,96.1,0,75,0,75,None,0,0,0,0,0,75,Used 6 cpm vs control for meta-analysis row.,RMSSD M 97.62 (6cpm) 62.84 (Control),34,2023,75,97.62,43.81,75,62.84,35.96,78,78,3,3,0,75,0,75,0,75,rmssd (ms),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Bouten2020,2020,Crossover,cycling,breath holding/apnea,placebo/control,crossover,Performance,3-km cycling time,Post-intervention,TRUE,11,,,,,,,p > 0.05,11,11,0,0,11,11,100,11,11,100,0,11,0,11,None,0,0,0,0,0,11,No significant improvement in time trial performance.,35,2020,11,,,,,,,11,11,0,100,0,11,0,0,0,3-km cycling time,TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,FALSE
Acute Apnea Does Not Improve 3-km Cycling Time Trial Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,FALSE,Positive Hedges' g favors the breathing intervention,1,FALSE
Braham2024,2024,RCT,team sports,hypoventilation (VHL),normal breathing (RSN),parallel,Performance,Repeated-sprint ability,Post-training,FALSE,,,,,,,,p < 0.05,,,,,,,,,,,,,,,,,Performance metrics improved after VHL.,Effects of a 6-Week Repeated-Sprint Training With Voluntary Hypoventilation at Low and High Lung Volume on Repeated-Sprint Ability in Female Soccer Players,,,,,37,2024,,,,,,,,,,,,,,,,,repeated-sprint ability,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,FALSE
Brocherie2022,2022,RCT,team sports,hypoventilation (VHL),normal breathing (RSN),parallel,Performance,RSA performance,Post-training (5 weeks),FALSE,16,,,,19,,,p < 0.05,,,,,,,,,,,,,8,43,"Injuries (n=3), illness.","Eight out of the 43 subjects were unable to complete the protocol due to injuries (n=3), unavailability (n=4) or club transfer (n=1)",,,,,,,38,2022,16,,,,19,,,,,,,,,8,,,rsa performance,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,FALSE
Burtch2017,2017,RCT,swimming,controlled frequency breathing (CFB),stroke matched control,parallel,Performance,200-yard time trial (s),Post-training,TRUE,13,114,7,12,115,7,p = 0.61,13,12,0,0,13,13,100,12,12,100,0,13,0,12,None,0,0,0,0,0,25,,"Control, SM (n = 12), mean (SD) 115 (7); Experimental, CFB (n = 13), mean (SD) 114 (7)",39,2017,13,114,7,12,115,7,13,12,0,0,0,13,0,12,0,25,200-yard time trial (s),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE
Buxton2024,2024,Crossover,resistance/strength,slow-paced breathing (4-7-8 method),control,crossover,Performance,Average velocity (m/s),Post-relaxation,FALSE,18,0.61,0.08,18,0.55,0.08,p = 0.773,18,18,0,0,18,18,100,18,18,100,0,18,0,18,None,0,0,0,0,0,18,,nor was there a significant main effect for condition (p = 0.773) for average velocity.,40,2024,18,0.61,0.08,18,0.55,0.08,18,18,0,0,0,18,0,18,0,18,average velocity (m/s),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Chiron2026,2026,RCT,running,slow-paced breathing (RELAX),control (CONT),parallel,Physiological,RMSSD (ms),Post-test,FALSE,11,72.95,35.22,11,89.37,4.61,p < 0.01,11,11,0,0,11,11,100,11,11,100,0,11,0,11,None,0,0,0,0,0,22,RELAX group showed significant modulation of stress parameters.,RMSSD 72.95 ± 35.22... 89.37 ± 4.61,41,2026,11,72.95,35.22,11,89.37,4.61,11,11,0,0,0,11,0,11,0,22,rmssd (ms),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE
Citherlet2021,2021,Crossover,running,Wim Hof breathing method,spontaneous breathing,crossover,Performance,RAST peak power,Post-test,FALSE,15,,,,15,,,p > 0.05,16,16,1,1,15,16,93.75,15,16,93.75,0,15,0,15,None,0,0,0,0,0,16,1 participant excluded for muscular injury.,42,2021,15,,,,15,,,16,16,1,93.75,0,15,0,0,0,rast peak power,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,FALSE
1 participant was excluded because of a muscular injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,FALSE,Positive Hedges' g favors the breathing intervention,1,FALSE
Dobashi2021,2021,Crossover,cycling,voluntary hyperventilation,control,crossover,Performance,Wingate performance,Post-test,FALSE,11,,,,11,,,p > 0.05,11,11,0,0,11,11,100,11,11,100,0,11,0,11,None,0,0,0,0,0,11,,44,2021,11,,,,11,,,11,11,0,100,0,11,0,0,0,wingate performance,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,FALSE
without affecting power outputs during Wingate anaerobic test.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,FALSE,Positive Hedges' g favors the breathing intervention,1,FALSE
Durand2000,2000,Observational,endurance,hypoventilation,athletes without EIH,observational,Physiological,PaO2,Post-test,FALSE,12,,,,10,,,p < 0.05,12,10,0,0,12,12,100,10,10,100,0,12,0,10,None,0,0,0,0,0,22,,46,2000,12,,,,10,,,12,10,0,100,0,12,0,0,0,pao2,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,FALSE
Fall in PaO2 > 10 mmHg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,FALSE,Positive Hedges' g favors the breathing intervention,1,FALSE
Fernandez2019,2019,Observational,freediving,breath holding,fast recovery,observational,Physiological,SaO2,Post-test,FALSE,25,,,,,,,,25,25,,,,,,,,,,,,,,0,25,,Low SaO2 after diving indicates pulmonary edema,,,,48,2019,25,,,,,,,25,25,,,,,,,,sao2,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,FALSE
FernandezBarradas2026,2026,Before-after,team sports,slow-paced breathing,baseline,crossover,Psychological,Cognitive anxiety,Post-test,TRUE,,,,,,,,,p < 0.001,,,,,,,,,,,,,,,,,,,,Cognitive anxiety 52.27 16 < .001,,49,2026,,,,,,,,,,,,,,,,,cognitive anxiety,TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,FALSE
